Bandeja,Date,Temperature
Bandeja 1,2015-06-07 19:39:00,36.96318758
Bandeja 1,2015-06-07 19:54:00,35.540964
Bandeja 1,2015-06-07 20:09:00,35.90572444
Bandeja 1,2015-06-07 20:24:00,34.31986188
Bandeja 1,2015-06-07 20:39:00,34.68019211
Bandeja 1,2015-06-07 20:54:00,32.75520896
Bandeja 1,2015-06-07 21:09:00,32.08919563
Bandeja 1,2015-06-07 21:24:00,30.85041985
Bandeja 1,2015-06-07 21:39:00,30.01143655
Bandeja 1,2015-06-07 21:54:00,29.48155683
Bandeja 1,2015-06-07 22:09:00,28.9070891
Bandeja 1,2015-06-07 22:24:00,28.11020122
Bandeja 1,2015-06-07 22:39:00,27.35514695
Bandeja 1,2015-06-07 22:54:00,26.82024371
Bandeja 1,2015-06-07 23:09:00,26.3282091
Bandeja 1,2015-06-07 23:24:00,26.14883337
Bandeja 1,2015-06-07 23:39:00,26.10394916
Bandeja 1,2015-06-07 23:54:00,25.87927737
Bandeja 1,2015-06-08 00:09:00,25.51888884
Bandeja 1,2015-06-08 00:24:00,25.33824805
Bandeja 1,2015-06-08 00:39:00,25.38343716
Bandeja 1,2015-06-08 00:54:00,25.24781091
Bandeja 1,2015-06-08 01:09:00,25.157294
Bandeja 1,2015-06-08 01:24:00,25.157294
Bandeja 1,2015-06-08 01:39:00,25.02136584
Bandeja 1,2015-06-08 01:54:00,24.7034616
Bandeja 1,2015-06-08 02:09:00,23.09641735
Bandeja 1,2015-06-08 02:24:00,23.00360502
Bandeja 1,2015-06-08 02:39:00,22.91067712
Bandeja 1,2015-06-08 02:54:00,23.00360502
Bandeja 1,2015-06-08 03:09:00,22.95715561
Bandeja 1,2015-06-08 03:24:00,22.58449821
Bandeja 1,2015-06-08 03:39:00,22.16291785
Bandeja 1,2015-06-08 03:54:00,22.3037277
Bandeja 1,2015-06-08 04:09:00,22.16291785
Bandeja 1,2015-06-08 04:24:00,22.06888402
Bandeja 1,2015-06-08 04:39:00,22.02181837
Bandeja 1,2015-06-08 04:54:00,22.06888402
Bandeja 1,2015-06-08 05:09:00,21.78599556
Bandeja 1,2015-06-08 05:24:00,21.88042433
Bandeja 1,2015-06-08 05:39:00,21.7387308
Bandeja 1,2015-06-08 05:54:00,21.83322667
Bandeja 1,2015-06-08 06:09:00,21.78599556
Bandeja 1,2015-06-08 06:24:00,21.7387308
Bandeja 1,2015-06-08 06:39:00,21.83322667
Bandeja 1,2015-06-08 06:54:00,21.69143221
Bandeja 1,2015-06-08 07:09:00,21.64409962
Bandeja 1,2015-06-08 07:24:00,21.59673283
Bandeja 1,2015-06-08 07:39:00,21.50189596
Bandeja 1,2015-06-08 07:54:00,21.50189596
Bandeja 1,2015-06-08 08:09:00,21.69143221
Bandeja 1,2015-06-08 08:24:00,21.69143221
Bandeja 1,2015-06-08 08:39:00,21.7387308
Bandeja 1,2015-06-08 08:54:00,21.83322667
Bandeja 1,2015-06-08 09:09:00,21.78599556
Bandeja 1,2015-06-08 09:24:00,21.69143221
Bandeja 1,2015-06-08 09:39:00,21.64409962
Bandeja 1,2015-06-08 09:54:00,21.54933167
Bandeja 1,2015-06-08 10:09:00,21.45442551
